,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank
0,1994-06-17,ESP,KOR,tie,5,37
1,1994-06-17,GER,BOL,Home,1,43
2,1994-06-18,USA,SUI,tie,23,12
3,1994-06-18,ITA,IRL,Away,4,14
4,1994-06-18,COL,ROU,Away,17,7
5,1994-06-19,BEL,MAR,Home,27,28
6,1994-06-19,NOR,MEX,Home,6,16
7,1994-06-19,CMR,SWE,tie,24,10
8,1994-06-20,NED,KSA,Home,2,34
9,1994-06-20,BRA,RUS,Home,3,19
10,1994-06-21,ARG,GRE,Home,8,31
11,1994-06-21,NGA,BUL,Home,11,29
12,1994-06-21,GER,ESP,tie,1,5
13,1994-06-22,ROU,SUI,Away,7,12
14,1994-06-22,USA,COL,Home,23,17
15,1994-06-23,ITA,NOR,Home,4,6
16,1994-06-23,KOR,BOL,tie,37,43
17,1994-06-24,MEX,IRL,Home,16,14
18,1994-06-24,SWE,RUS,Home,10,19
19,1994-06-24,BRA,CMR,Home,3,24
20,1994-06-25,BEL,NED,Home,27,2
21,1994-06-25,KSA,MAR,Home,34,28
22,1994-06-25,ARG,NGA,Home,8,11
23,1994-06-26,BUL,GRE,Home,29,31
24,1994-06-26,USA,ROU,Away,23,7
25,1994-06-26,SUI,COL,Away,12,17
26,1994-06-27,GER,KOR,Home,1,37
27,1994-06-27,BOL,ESP,Away,43,5
28,1994-06-28,IRL,NOR,tie,14,6
29,1994-06-28,BRA,SWE,tie,3,10
30,1994-06-28,ITA,MEX,tie,4,16
31,1994-06-28,RUS,CMR,Home,19,24
32,1994-06-29,MAR,NED,Away,28,2
33,1994-06-29,BEL,KSA,Away,27,34
34,1994-06-30,GRE,NGA,Away,31,11
35,1994-06-30,ARG,BUL,Away,8,29
36,1994-07-02,GER,BEL,Home,1,27
37,1994-07-02,ESP,SUI,Home,5,12
38,1994-07-03,KSA,SWE,Away,34,10
39,1994-07-03,ROU,ARG,Home,7,8
40,1994-07-04,NED,IRL,Home,2,14
41,1994-07-04,BRA,USA,Home,3,23
42,1994-07-05,NGA,ITA,Away,11,4
43,1994-07-05,MEX,BUL,tie,16,29
44,1994-07-09,ITA,ESP,Home,4,5
45,1994-07-09,NED,BRA,Away,2,3
46,1994-07-10,BUL,GER,Home,29,1
47,1994-07-10,ROU,SWE,tie,7,10
48,1994-07-13,BUL,ITA,Away,29,4
49,1994-07-13,SWE,BRA,Away,10,3
50,1994-07-16,SWE,BUL,Home,10,29
51,1994-07-17,BRA,ITA,tie,3,4
52,1998-06-10,BRA,SCO,Home,1,41
53,1998-06-10,MAR,NOR,tie,13,7
54,1998-06-11,ITA,CHI,tie,14,9
55,1998-06-11,CMR,AUT,tie,49,31
56,1998-06-12,PAR,BUL,tie,29,35
57,1998-06-12,KSA,DEN,Away,34,27
58,1998-06-12,FRA,RSA,Home,18,24
59,1998-06-13,ESP,NGA,Away,15,74
60,1998-06-13,KOR,MEX,Away,20,4
61,1998-06-13,NED,BEL,tie,25,36
62,1998-06-14,ARG,JPN,Home,6,12
63,1998-06-14,YUG,IRN,Home,8,42
64,1998-06-14,JAM,CRO,Away,30,19
65,1998-06-15,ENG,TUN,Home,5,21
66,1998-06-15,ROU,COL,Home,22,10
67,1998-06-15,GER,USA,Home,2,11
68,1998-06-16,SCO,NOR,tie,41,7
69,1998-06-16,BRA,MAR,Home,1,13
70,1998-06-17,CHI,AUT,tie,9,31
71,1998-06-17,ITA,CMR,Home,14,49
72,1998-06-18,RSA,DEN,tie,24,27
73,1998-06-18,FRA,KSA,Home,18,34
74,1998-06-19,NGA,BUL,Home,74,35
75,1998-06-19,ESP,PAR,tie,15,29
76,1998-06-20,JPN,CRO,Away,12,19
77,1998-06-20,BEL,MEX,tie,36,4
78,1998-06-20,NED,KOR,Home,25,20
79,1998-06-21,GER,YUG,tie,2,8
80,1998-06-21,ARG,JAM,Home,6,30
81,1998-06-21,USA,IRN,Away,11,42
82,1998-06-22,COL,TUN,Home,10,21
83,1998-06-22,ROU,ENG,Home,22,5
84,1998-06-23,ITA,AUT,Home,14,31
85,1998-06-23,CHI,CMR,tie,9,49
86,1998-06-23,SCO,MAR,Away,41,13
87,1998-06-23,BRA,NOR,Away,1,7
88,1998-06-24,FRA,DEN,Home,18,27
89,1998-06-24,RSA,KSA,tie,24,34
90,1998-06-24,ESP,BUL,Home,15,35
91,1998-06-24,NGA,PAR,Away,74,29
92,1998-06-25,BEL,KOR,tie,36,20
93,1998-06-25,NED,MEX,tie,25,4
94,1998-06-25,GER,IRN,Home,2,42
95,1998-06-25,USA,YUG,Away,11,8
96,1998-06-26,JPN,JAM,Away,12,30
97,1998-06-26,ARG,CRO,Home,6,19
98,1998-06-26,ROU,TUN,tie,22,21
99,1998-06-26,COL,ENG,Away,10,5
100,1998-06-27,ITA,NOR,Home,14,7
101,1998-06-27,BRA,CHI,Home,1,9
102,1998-06-28,FRA,PAR,Home,18,29
103,1998-06-28,NGA,DEN,Away,74,27
104,1998-06-29,GER,MEX,Home,2,4
105,1998-06-29,NED,YUG,Home,25,8
106,1998-06-30,ROU,CRO,Away,22,19
107,1998-06-30,ARG,ENG,tie,6,5
108,1998-07-03,ITA,FRA,tie,14,18
109,1998-07-03,BRA,DEN,Home,1,27
110,1998-07-04,NED,ARG,Home,25,6
111,1998-07-04,GER,CRO,Away,2,19
112,1998-07-07,BRA,NED,tie,1,25
113,1998-07-08,FRA,CRO,Home,18,19
114,1998-07-11,NED,CRO,Away,25,19
115,1998-07-12,BRA,FRA,Away,1,18
