Date,index,Value
2017-08-31,0,0.8772
2017-07-31,1,0.8772
2017-05-31,2,0.8772
2017-04-30,3,1.7544
2017-03-31,4,1.7544
2017-02-28,5,1.7544
2017-01-31,6,1.7544
2016-12-31,7,1.7544
2016-11-30,8,1.7544
2016-10-31,9,1.7544
2016-09-30,10,1.7544
2016-08-31,11,1.7544
2016-07-31,12,1.7544
2016-06-30,13,1.7544
2016-05-31,14,1.7544
2016-04-30,15,0.8772
2016-03-31,16,0.8772
2016-02-29,17,0.8772
2016-01-31,18,0.8772
2015-12-31,19,0.8772
2015-11-30,20,0.8772
2015-10-31,21,0.8772
2015-09-30,22,0.8772
2015-08-31,23,1.7544
2015-07-31,24,1.7544
2015-06-30,25,1.7544
2015-05-31,26,1.7544
2015-04-30,27,1.7544
2015-03-31,28,1.7544
2015-02-28,29,2.6316
2015-01-31,30,2.6316
2014-12-31,31,2.6316
2014-11-30,32,2.6316
2014-10-31,33,2.6316
2014-09-30,34,2.6316
2014-08-31,35,1.7544
2014-07-31,36,2.6316
2014-06-30,37,2.6316
2014-05-31,38,1.7544
2014-04-30,39,2.6316
2014-03-31,40,2.6316
2014-02-28,41,1.7544
2014-01-31,42,1.7544
2013-12-31,43,2.6316
2013-11-30,44,2.6316
2013-10-31,45,2.6316
2013-09-30,46,2.6316
2013-08-31,47,3.5088
2013-07-31,48,2.6316
2013-06-30,49,4.386
2013-05-31,50,4.386
2013-04-30,51,4.386
2013-03-31,52,4.386
2013-02-28,53,4.386
2013-01-31,54,4.386
2012-12-31,55,3.5088
2012-11-30,56,3.5088
2012-10-31,57,3.5088
2012-09-30,58,3.5088
2012-08-31,59,2.6316
2012-07-31,60,2.6316
2012-06-30,61,0.8772
2012-05-31,62,0.8772
